Player,Salary,Salary_Adj,Year
Kevin McHale,"$3,500,000","$7,625,650",1991
Reggie Lewis,"$3,340,000","$7,277,049",1991
Michael Jordan,"$3,250,000","$7,080,961",1991
Reggie Miller,"$3,211,000","$6,995,989",1991
Charles Barkley,"$3,200,000","$6,972,023",1991
Hakeem Olajuwon,"$3,170,000","$6,906,660",1991
Patrick Ewing,"$3,139,000","$6,839,119",1991
Dominique Wilkins,"$3,100,000","$6,754,147",1991
Robert Parish,"$3,000,000","$6,536,272",1991
Isiah Thomas,"$2,960,000","$6,449,121",1991
Benoit Benjamin,"$2,875,000","$6,263,927",1991
Chris Mullin,"$2,844,000","$6,196,385",1991
Danny Ferry,"$2,843,000","$6,194,207",1991
Scottie Pippen,"$2,770,000","$6,035,157",1991
Ralph Sampson,"$2,685,000","$5,849,963",1991
Karl Malone,"$2,556,000","$5,568,903",1991
Bernard King,"$2,525,000","$5,501,362",1991
Sam Perkins,"$2,507,000","$5,462,144",1991
Magic Johnson,"$2,500,000","$5,446,893",1991
Wayman Tisdale,"$2,333,000","$5,083,040",1991
Derrick Coleman,"$2,300,000","$5,011,141",1991
Danny Manning,"$2,300,000","$5,011,141",1991
Pervis Ellison,"$2,300,000","$5,011,141",1991
Tom Chambers,"$2,275,000","$4,956,672",1991
Steve Smith,"$2,250,000","$4,902,204",1991
Brad Daugherty,"$2,245,000","$4,891,310",1991
David Robinson,"$2,240,000","$4,880,416",1991
Chuck Person,"$2,156,000","$4,697,400",1991
John Stockton,"$2,100,000","$4,575,390",1991
Kevin Duckworth,"$2,013,000","$4,385,838",1991
Mahmoud Abdul-Rauf,"$2,008,000","$4,374,944",1991
Dikembe Mutombo,"$2,005,000","$4,368,408",1991
Rony Seikaly,"$2,002,000","$4,361,872",1991
Jon Koncak,"$2,000,000","$4,357,514",1991
Sam Bowie,"$2,000,000","$4,357,514",1991
Bill Cartwright,"$2,000,000","$4,357,514",1991
John Salley,"$2,000,000","$4,357,514",1991
LaSalle Thompson,"$2,000,000","$4,357,514",1991
Dennis Scott,"$1,980,000","$4,313,939",1991
Larry Johnson,"$1,955,000","$4,259,470",1991
Kevin Johnson,"$1,950,000","$4,248,576",1991
Scott Skiles,"$1,925,000","$4,194,107",1991
Rolando Blackman,"$1,920,000","$4,183,214",1991
Kendall Gill,"$1,908,000","$4,157,069",1991
Gary Payton,"$1,883,000","$4,102,600",1991
Terry Cummings,"$1,861,000","$4,054,667",1991
Mike Gminski,"$1,850,000","$4,030,701",1991
Kenny Anderson,"$1,828,000","$3,982,768",1991
Mychal Thompson,"$1,807,000","$3,937,014",1991
Sean Elliott,"$1,802,000","$3,926,120",1991
Terry Porter,"$1,787,000","$3,893,439",1991
Otis Thorpe,"$1,786,000","$3,891,260",1991
Horace Grant,"$1,750,000","$3,812,825",1991
A.C. Green,"$1,750,000","$3,812,825",1991
James Worthy,"$1,750,000","$3,812,825",1991
Ricky Pierce,"$1,750,000","$3,812,825",1991
Derek Harper,"$1,725,000","$3,758,356",1991
Johnny Dawkins,"$1,700,000","$3,703,887",1991
Buck Williams,"$1,700,000","$3,703,887",1991
Ron Harper,"$1,650,000","$3,594,949",1991
Kenny Smith,"$1,633,000","$3,557,910",1991
Xavier McDaniel,"$1,625,000","$3,540,480",1991
Fat Lever,"$1,619,000","$3,527,408",1991
John Paxson,"$1,600,000","$3,486,011",1991
Danny Schayes,"$1,600,000","$3,486,011",1991
Moses Malone,"$1,600,000","$3,486,011",1991
Luc Longley,"$1,590,000","$3,464,224",1991
Vinnie Johnson,"$1,580,000","$3,442,436",1991
Jeff Malone,"$1,580,000","$3,442,436",1991
Blair Rasmussen,"$1,558,000","$3,394,503",1991
Mark Price,"$1,520,000","$3,311,711",1991
Billy Owens,"$1,509,000","$3,287,744",1991
Doug Smith,"$1,500,000","$3,268,136",1991
Sleepy Floyd,"$1,500,000","$3,268,136",1991
Greg Anderson,"$1,465,000","$3,191,879",1991
Jeff Hornacek,"$1,428,000","$3,111,265",1991
Willie Burton,"$1,402,000","$3,054,617",1991
Kevin Gamble,"$1,400,000","$3,050,260",1991
Michael Cage,"$1,390,000","$3,028,472",1991
Terry Catledge,"$1,386,000","$3,019,757",1991
Clyde Drexler,"$1,378,000","$3,002,327",1991
Brad Lohaus,"$1,377,000","$3,000,148",1991
Drazen Petrovic,"$1,375,000","$2,995,791",1991
Bill Laimbeer,"$1,369,000","$2,982,718",1991
Larry Nance,"$1,363,000","$2,969,646",1991
Cliff Levingston,"$1,350,000","$2,941,322",1991
Rik Smits,"$1,350,000","$2,941,322",1991
Armen Gilliam,"$1,350,000","$2,941,322",1991
Manute Bol,"$1,350,000","$2,941,322",1991
Felton Spencer,"$1,340,000","$2,919,534",1991
Alton Lister,"$1,333,000","$2,904,283",1991
Mark Eaton,"$1,333,000","$2,904,283",1991
Charles Shackleford,"$1,332,000","$2,902,104",1991
Brian Shaw,"$1,313,000","$2,860,708",1991
Michael Adams,"$1,309,000","$2,851,993",1991
Glen Rice,"$1,302,000","$2,836,742",1991
